gene_symbol	historical_mechanisms	exact_condition_hpo_route	exact_route_with_inheritance	exact_route_with_penetrance	exact_route_with_both	exact_condition_count	exact_sources	exact_mechanisms	included_hpo_condition_with_inheritance_and_penetrance	unlinked_same_condition_hpo_candidate	unlinked_cross_condition_gene_wide_candidate	hpo_conditions_with_both
RNASET2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RNF113A	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RNF13	GOF	1	1	0	0	2	G2P_DDG2P;Orphadata	GOF	0	0	0	
RNF135	LOF	0	0	0	0	0			0	0	0	
RNF168	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RNF213	GOF;LOF	0	0	0	0	0			0	0	0	
RNF216	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RNH1	LOF	0	0	0	0	0			0	0	0	
RNPC3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RNU4-2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ROBO1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
ROBO3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ROBO4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
ROGDI	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
ROR2	GOF;LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
RORA	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RP1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RP1L1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RP2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPA1	GOF	0	0	0	0	0			0	0	0	
RPE65	GOF;LOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
RPGR	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPGRIP1	LOF	1	1	0	0	3	G2P_DDG2P;Orphadata	LOF	0	0	0	
RPGRIP1L	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPH3A	GOF	0	0	0	0	0			0	0	0	
RPIA	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPL10	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RPL10L	LOF	0	0	0	0	0			0	0	0	
RPL11	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPL13	LOF	0	0	0	0	0			0	0	0	
RPL26	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPL8	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RPS15A	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RPS19	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPS26	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPS28	LOF	1	0	0	0	1	Orphadata	LOF	0	0	0	
RPS29	LOF	1	0	0	0	1	Orphadata	LOF	1	0	0	OMIM:615909
RPS6KA3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RPS6KC1	LOF	0	0	0	0	0			0	0	0	
RRAGC	GOF	1	1	0	0	1	G2P_DDG2P	GOF	0	0	0	
RRAS	GOF	0	0	0	0	0			0	0	0	
RRAS2	GOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
RREB1	LOF	0	0	0	0	0			0	0	0	
RRM2B	GOF;LOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
RS1	LOF	0	0	0	0	0			0	0	0	
RSPH1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RSPH3	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RSPO1	GOF	0	0	0	0	0			0	0	0	
RSPO2	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RSPO4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RSPRY1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RSRC1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RTEL1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	1	0	0	OMIM:616373
RTN4IP1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RUNX1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RUNX2	GOF;LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
RXYLT1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
RYR1	GOF;LOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF;LOF	0	0	0	
RYR2	GOF;LOF	1	1	0	0	2	G2P_DDG2P;GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
RYR3	LOF	0	0	0	0	0			0	0	0	
S1PR2	LOF	0	0	0	0	0			0	0	0	
SACK1H	GOF	0	0	0	0	0			0	0	0	
SACS	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SAG	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SALL1	LOF	1	1	0	0	2	G2P_DDG2P;Orphadata	LOF	0	0	0	
SALL2	LOF	0	0	0	0	0			0	0	0	
SALL4	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SAMD11	LOF	0	0	0	0	0			0	0	0	
SAMD9	GOF;LOF	1	1	0	0	1	G2P_DDG2P	GOF	0	0	0	
SAMD9L	GOF	1	1	0	0	1	GoFCards_exact+ClinVar_VCV	GOF	0	0	0	
SAMHD1	LOF	1	1	0	0	1	G2P_DDG2P	LOF	0	0	0	
SARS1	DOMINANT_NEGATIVE	0	0	0	0	0			0	0	0	
SARS2	LOF	0	0	0	0	0			0	0	0	
SART3	LOF	0	0	0	0	0			0	0	0	
SASH3	LOF	0	0	0	0	0			0	0	0	
